cod_mpio,municipio,departamento,idx_minero,idx_deforestacion,idx_fuego,riesgo_nivel,mineria_titulos,rucom_registros,anm_proyectos,presion_extractiva,formalizacion,brecha_formalizacion,alerta_informalidad
50568,PUERTO GAITÁN,META,0.4318,0.5224,0.8073,Crítico,8,8,71,0.846,0.666,0.18,False
86755,SAN FRANCISCO,PUTUMAYO,0.4463,0.3234,0.0,Alto,1,1,38,0.648,0.472,0.176,False
50330,MESETAS,META,0.2536,0.6913,0.0,Alto,1,1,18,0.597,0.434,0.163,False
44650,SAN JUAN DEL CESAR,LA GUAJIRA,0.1171,0.0,0.6889,Alto,1,1,15,0.585,0.427,0.158,False
44098,DISTRACCIÓN,LA GUAJIRA,0.2539,0.0,0.5569,Bajo,2,2,15,0.605,0.464,0.141,False
50450,PUERTO CONCORDIA,META,0.2911,0.598,0.0,Crítico,4,4,2,0.604,0.465,0.139,False
99001,PUERTO CARREÑO,VICHADA,0.4566,0.0,0.8157,Alto,2,2,76,0.695,0.559,0.136,False
50370,URIBE,META,0.2112,0.8582,0.0,Crítico,1,1,29,0.59,0.457,0.133,False
86885,VILLAGARZÓN,PUTUMAYO,0.3615,0.6203,0.0,Alto,2,2,27,0.623,0.492,0.131,False
86865,VALLE DEL GUAMUEZ,PUTUMAYO,0.1929,0.6367,0.0,Medio,1,1,25,0.58,0.449,0.131,False
68101,BOLÍVAR,SANTANDER,0.3729,0.0,0.4643,Medio,3,3,21,0.633,0.504,0.129,False
27600,RÍO QUITO,CHOCÓ,0.6751,0.0,0.0,Medio,0,0,387,0.592,0.464,0.128,False
27160,CÉRTEGUI,CHOCÓ,0.6581,0.0,0.0,Medio,0,0,346,0.586,0.46,0.126,False
27413,LLORÓ,CHOCÓ,0.6674,0.0,0.0,Medio,0,0,413,0.589,0.465,0.124,False
18479,MORELIA,CAQUETÁ,0.3726,0.3119,0.0,Alto,3,3,17,0.617,0.496,0.121,False
20032,ASTREA,CESAR,0.2149,0.0,0.6173,Bajo,2,2,25,0.603,0.486,0.117,False
20787,TAMALAMEQUE,CESAR,0.3704,0.0,0.6993,Medio,4,4,26,0.652,0.539,0.113,False
47245,EL BANCO,MAGDALENA,0.2564,0.0,0.6626,Medio,1,1,59,0.617,0.504,0.113,False
76248,EL CERRITO,VALLE DEL CAUCA,0.3686,0.0,0.523,Medio,4,4,18,0.633,0.521,0.112,False
15097,BOAVITA,BOYACÁ,0.4446,0.0,0.4989,Medio,1,1,112,0.665,0.554,0.111,False
19533,PIAMONTE,CAUCA,0.3102,0.6278,0.0,Crítico,3,3,20,0.611,0.502,0.109,False
