Nombre,Área_Oficial__Ha_,centroid_x,centroid_y,Categoría,Territorial
Lote 5,6.4043968,-74.30236807,4.94547629,Reserva Natural de la Sociedad Civil, 
El Cedro,23.2273339,-76.51715485,2.37423081,Reserva Natural de la Sociedad Civil, 
San Antonio,48.87349489,-76.65648311,3.54712498,Reserva Natural de la Sociedad Civil, 
La Pradera,9.20177971,-76.51175286,2.37961724,Reserva Natural de la Sociedad Civil, 
Moralba,291.21331235,-76.51796186,3.9227574,Reserva Natural de la Sociedad Civil, 
Dos Quebradas,5.39933726,-76.22947823,4.68138979,Reserva Natural de la Sociedad Civil, 
La Macarena,374.53448749,-72.67066366,3.85518911,Reserva Natural de la Sociedad Civil, 
Patio Bonito,16.84659435,-76.23483884,4.68637753,Reserva Natural de la Sociedad Civil, 
La Palma,79.68777713,-76.5368945,2.38459648,Reserva Natural de la Sociedad Civil, 
La Aurora,9881.50006573,-71.35766948,6.03924821,Reserva Natural de la Sociedad Civil, 
Patio Bonito,3.80404963,-76.22631599,4.66455392,Reserva Natural de la Sociedad Civil, 
La Paila,149.92947551,-76.20464952,4.67595429,Reserva Natural de la Sociedad Civil, 
El Horadado De San Alejo,31.39150786,-74.02762573,4.57174275,Reserva Natural de la Sociedad Civil, 
Los Pinos,16.11061529,-76.51505111,2.39389646,Reserva Natural de la Sociedad Civil, 
La Vega,17.9756097,-76.64798521,3.77741609,Reserva Natural de la Sociedad Civil, 
La Parcela 2,24.98066116,-76.26869257,4.66880301,Reserva Natural de la Sociedad Civil, 
El Viche,346.68016669,-75.56806991,2.49714575,Reserva Natural de la Sociedad Civil, 
Aguas Frias,3.4105975,-75.23824965,4.42297901,Reserva Natural de la Sociedad Civil, 
Villa María y La Marina,10.96243211,-76.30944172,4.49846804,Reserva Natural de la Sociedad Civil, 
La Cabañita,0.10542693,-76.29850759,4.29038693,Reserva Natural de la Sociedad Civil, 
El Silencio,26.22958433,-76.2584753,4.67514996,Reserva Natural de la Sociedad Civil, 
El Carmen,7.9549643,-76.50924497,2.39635645,Reserva Natural de la Sociedad Civil, 
El Porvenir,1.43703643,-76.24155465,4.66222245,Reserva Natural de la Sociedad Civil, 
San Antonio,6.06628583,-76.5136831,2.38976775,Reserva Natural de la Sociedad Civil, 
San Rafael,11.93341717,-76.65724068,3.76529931,Reserva Natural de la Sociedad Civil, 
La Parcela 9,7.16187063,-76.26451877,4.6636154,Reserva Natural de la Sociedad Civil, 
Los Chagualos,69.4447982,-76.13625822,4.01963326,Reserva Natural de la Sociedad Civil, 
Peñas Blancas,75.83082905,-76.20633899,4.68273532,Reserva Natural de la Sociedad Civil, 
Las Malvinas,503.69976091,-71.3331023,4.83841593,Reserva Natural de la Sociedad Civil, 
Pullitopamba,18.07194205,-77.32946097,1.27780463,Reserva Natural de la Sociedad Civil, 
El Retiro,95.49461177,-76.39722502,2.43409051,Reserva Natural de la Sociedad Civil, 
La Cantera Y La Laguna,52.36233524,-76.48495185,2.46327084,Reserva Natural de la Sociedad Civil, 
La Ceja,26.81755319,-76.41902809,2.43571761,Reserva Natural de la Sociedad Civil, 
La Laguna,1.0201116,-76.48791816,2.45523939,Reserva Natural de la Sociedad Civil, 
San Pedro Y El Recuerdo,40.55178905,-76.42817199,2.43853021,Reserva Natural de la Sociedad Civil, 
Oasis,27.17244519,-76.51843422,2.4591342,Reserva Natural de la Sociedad Civil, 
Puerta Dorada,13.84880984,-76.4577027,2.45701562,Reserva Natural de la Sociedad Civil, 
El Trébol,5.47698615,-76.48872295,2.45489784,Reserva Natural de la Sociedad Civil, 
Belén,9.67254894,-76.44173305,2.44286783,Reserva Natural de la Sociedad Civil, 
El Manzano,13.1641014,-76.44374351,2.43312469,Reserva Natural de la Sociedad Civil, 
Monte Redondo,7.88006413,-76.41566183,2.46109262,Reserva Natural de la Sociedad Civil, 
Betania,7.93491898,-76.44754489,2.45203734,Reserva Natural de la Sociedad Civil, 
La Angostura,9.21675432,-76.51646291,2.45413478,Reserva Natural de la Sociedad Civil, 
Santa Ines,4.98093842,-76.44682531,2.44850204,Reserva Natural de la Sociedad Civil, 
La Primavera,12.99917777,-76.50802207,2.45990167,Reserva Natural de la Sociedad Civil, 
La Esperanza,9.40608368,-76.43355689,2.44051406,Reserva Natural de la Sociedad Civil, 
Arrayanales,159.56081951,-76.42741113,2.44315857,Reserva Natural de la Sociedad Civil, 
Alto,2.72886085,-76.50684664,2.46379119,Reserva Natural de la Sociedad Civil, 
Las Mercedes,7.54679078,-76.43997823,2.44849521,Reserva Natural de la Sociedad Civil, 
San Ignacio,3.25585677,-76.44893451,2.45384954,Reserva Natural de la Sociedad Civil, 
Motilonal,11.06104035,-76.42374741,2.43439285,Reserva Natural de la Sociedad Civil, 
El Naranjal,29.35928336,-76.50508493,2.44636895,Reserva Natural de la Sociedad Civil, 
La Victoria Cerro de Pacandé,22.40601492,-75.15572735,3.52820048,Reserva Natural de la Sociedad Civil, 
Las Guacamayas,10.16775279,-74.83898351,3.77983604,Reserva Natural de la Sociedad Civil, 
VillaLuz,19.45234147,-73.83603978,4.55880256,Reserva Natural de la Sociedad Civil, 
La Reserva,262.25024074,-73.82601031,4.57355763,Reserva Natural de la Sociedad Civil, 
Vallecita,232.94705493,-74.98490666,4.58426665,Reservas Forestales Protectoras Regionales, 
Farallones del Citará,30060.66102854,-76.00775493,5.67212233,Reservas Forestales Protectoras Regionales, 
Cerro Bravo,891.90189483,-75.70538864,5.93641421,Reservas Forestales Protectoras Regionales, 
Cañon del Rio Alicante,6291.83483532,-74.63519664,6.55153387,Distritos Regionales de Manejo Integrado, 
Nubes Trocha Capota,4180.20831559,-75.79866214,5.81808913,Distritos Regionales de Manejo Integrado, 
Sistema de Paramos y Bosques Altoandinos del Noroccidente Medio Antioqueño,42557.68669886,-75.68344968,6.67845837,Distritos Regionales de Manejo Integrado, 
Cuchilla Jardin Tamesis,28036.57802806,-75.7797503,5.61271374,Distritos Regionales de Manejo Integrado, 
Lote A,42.22882282,-74.62490426,1.91959497,Reserva Natural de la Sociedad Civil, 
Alto del Insor,6956.97559148,-76.02469815,6.64495233,Distritos Regionales de Manejo Integrado, 
Rios Barroso y San Juan,3034.09967842,-75.90949923,5.88692186,Distritos Regionales de Manejo Integrado, 
Humedales entre los Ríos Leon y Suriquí,5299.99439832,-76.80137941,7.88479907,Parques Naturales Regionales, 
Cuchilla Cerro Plateado Alto San Jose,8890.15905718,-76.03577399,5.97807818,Distritos Regionales de Manejo Integrado, 
El Toro,106.35876158,-75.22912177,4.87637547,Reservas Forestales Protectoras Regionales, 
La Gloria,44.63120505,-75.1871565,4.65390739,Reservas Forestales Protectoras Regionales, 
Vallelargo,418.07217166,-75.23997149,4.66298393,Reservas Forestales Protectoras Regionales, 
Villa Lorena,47.63212384,-75.37970267,1.41887332,Reserva Natural de la Sociedad Civil, 
Rancho La Guadalupana,11.73747212,-71.93237002,5.86475515,Reserva Natural de la Sociedad Civil, 
Las Mirlas,189.22603032,-75.29019321,4.56279179,Reservas Forestales Protectoras Regionales, 
La Suiza,52.69978644,-75.31691691,4.51991126,Reservas Forestales Protectoras Regionales, 
Bellavista,431.25676903,-75.19396709,4.48880239,Reservas Forestales Protectoras Regionales, 
La Pradera,454.95605626,-75.1723864,4.78662945,Reservas Forestales Protectoras Regionales, 
Cerrobravo,337.5814458,-75.25648338,4.78052927,Reservas Forestales Protectoras Regionales, 
El Contento las Palmas,22.60732834,-75.04628536,5.09018171,Reservas Forestales Protectoras Regionales, 
Lote #1,8.12288313,-75.71246372,1.56396657,Reserva Natural de la Sociedad Civil, 
Soledad las Nubes,87.62167913,-74.90037448,3.77254591,Reservas Forestales Protectoras Regionales, 
El Trebol,92.47574883,-75.65102944,3.99348608,Reservas Forestales Protectoras Regionales, 
Las Damas,124.6933423,-74.97238311,4.71204365,Reservas Forestales Protectoras Regionales, 
Uno,82.88049186,-74.95591849,4.74470529,Reservas Forestales Protectoras Regionales, 
Majaguillo,146.77136421,-71.6941552,4.82960747,Reserva Natural de la Sociedad Civil, 
La Copa la Copita San José,119.50458637,-75.13433775,5.00571397,Reservas Forestales Protectoras Regionales, 
La Esperanza,53.70806268,-75.14636204,4.98572972,Reservas Forestales Protectoras Regionales, 
Corazon California la Palma  y Soledad Potosí,152.80002127,-75.20261071,4.58740663,Reservas Forestales Protectoras Regionales, 
La Cima I Cima II y Altamira Maupaz,236.57181602,-75.16641665,4.61031139,Reservas Forestales Protectoras Regionales, 
La Estrella la Cabaña Dulima,212.61551946,-75.26910471,4.51276709,Reservas Forestales Protectoras Regionales, 
El Humedal y la Santísima Trinidad,821.90426699,-75.35146902,4.58060522,Reservas Forestales Protectoras Regionales, 
El Palmar y la Secreta,1414.66578742,-75.31370723,4.6097038,Reservas Forestales Protectoras Regionales, 
