cod_mpio,municipio,departamento,focos_7d,frp_total,idx_fuego,ultima_fecha
41349,HOBO,HUILA,1,2.1,0.1571,2026-07-20
73030,AMBALEMA,TOLIMA,1,1.99,0.1521,2026-07-21
13300,HATILLO DE LOBA,BOLÍVAR,1,1.95,0.1502,2026-07-17
8137,CAMPO DE LA CRUZ,ATLÁNTICO,1,1.95,0.1502,2026-07-16
68547,PIEDECUESTA,SANTANDER,2,1.84,0.1449,2026-07-16
70820,SANTIAGO DE TOLÚ,SUCRE,1,1.82,0.1439,2026-07-15
8433,MALAMBO,ATLÁNTICO,1,1.79,0.1425,2026-07-15
11001,"BOGOTÁ, D.C.","BOGOTÁ, D.C.",1,1.59,0.1321,2026-07-16
5001,MEDELLÍN,ANTIOQUIA,2,1.46,0.125,2026-07-17
15276,FLORESTA,BOYACÁ,1,1.37,0.1198,2026-07-16
73616,RIOBLANCO,TOLIMA,1,1.25,0.1126,2026-07-17
68444,MATANZA,SANTANDER,1,1.21,0.1101,2026-07-18
68001,BUCARAMANGA,SANTANDER,1,1.17,0.1076,2026-07-15
17486,NEIRA,CALDAS,1,1.16,0.1069,2026-07-17
25224,CUCUNUBÁ,CUNDINAMARCA,1,1.06,0.1003,2026-07-22
73483,NATAGAIMA,TOLIMA,1,0.97,0.0941,2026-07-18
85001,YOPAL,CASANARE,1,0.78,0.0801,2026-07-22
44420,LA JAGUA DEL PILAR,LA GUAJIRA,1,0.73,0.0761,2026-07-16
50006,ACACÍAS,META,1,0.43,0.0497,2026-07-21
