cod_mpio,municipio,departamento,lat,lon,mineria_titulos,mineria_minerales,mineria_volumen,mineria_regalias,es_pdet,deforestacion_ha,agua_ica_medio,agua_estaciones,runap_areas,runap_hectareas,idx_minero,idx_deforestacion,idx_hidrico,idx_sensibilidad,riesgo_score,riesgo_nivel,hidrico_sin_dato
05467,MONTEBELLO,ANTIOQUIA,5.946313,-75.523455,5,3,3163.2,0.0,0,0,,0,3,154.9,0.3743,0.0,0.0,0.3228,0.1633,Bajo,1
05475,MURINDÓ,ANTIOQUIA,6.97771,-76.817485,0,0,0,0,1,0,,0,0,0,0.0,0.0,0.0,0.25,0.025,Bajo,1
05480,MUTATÁ,ANTIOQUIA,7.242875,-76.435875,9,4,28681.0,1692.0,1,0,,0,2,503993.4,0.6176,0.0,0.0,1.0,0.3162,Alto,1
05483,NARIÑO,ANTIOQUIA,5.610777,-75.176262,12,6,5689.1,987.0,0,0,,0,2,40670.3,0.4947,0.0,0.0,0.6785,0.241,Medio,1
05490,NECOCLÍ,ANTIOQUIA,8.434526,-76.787271,0,0,0.0,0.0,1,0,,0,2,30690.6,0.0,0.0,0.0,0.9105,0.0911,Bajo,1
05495,NECHÍ,ANTIOQUIA,8.094129,-74.77647,18,5,22480.2,0.0,1,0,0.75,2,2,25090.2,0.6294,0.0,0.25,0.8976,0.3725,Crítico,0
05501,OLAYA,ANTIOQUIA,6.626492,-75.811773,0,0,782.9,256.0,0,0,,0,0,0,0.0977,0.0,0.0,0.0,0.0342,Bajo,1
05541,PEÑOL,ANTIOQUIA,6.219349,-75.242693,0,0,244.3,0.0,0,0,,0,0,0,0.0369,0.0,0.0,0.0,0.0129,Bajo,1
05543,PEQUE,ANTIOQUIA,7.021029,-75.910357,0,0,0,0,0,0,,0,1,20419.3,0.0,0.0,0.0,0.6344,0.0634,Bajo,1
05576,PUEBLORRICO,ANTIOQUIA,5.79158,-75.839903,0,0,0,0,0,0,,0,0,0,0.0,0.0,0.0,0.0,0.0,Bajo,1
05579,PUERTO BERRÍO,ANTIOQUIA,6.487028,-74.410016,32,9,17299.7,400.0,0,0,,0,4,12710.9,0.662,0.0,0.0,0.6041,0.2921,Alto,1
05585,PUERTO NARE,ANTIOQUIA,6.186025,-74.583012,18,3,43992.4,13080.0,0,0,,0,0,0,0.7,0.0,0.0,0.0,0.245,Medio,1
05591,PUERTO TRIUNFO,ANTIOQUIA,5.871318,-74.64119,43,12,629.9,0.0,0,0,0.83,1,1,158.1,0.6417,0.0,0.17,0.3241,0.2995,Alto,0
05604,REMEDIOS,ANTIOQUIA,7.029424,-74.698135,161,29,7925.9,539.0,1,0,,0,0,0,0.8676,0.0,0.0,0.25,0.3287,Crítico,1
05607,RETIRO,ANTIOQUIA,6.062454,-75.501301,1,1,7739.1,750.0,0,0,,0,3,17166.7,0.3846,0.0,0.0,0.6233,0.1969,Medio,1
05615,RIONEGRO,ANTIOQUIA,6.147148,-75.377316,15,7,4904.5,0.0,0,0,0.86,2,1,64.8,0.5136,0.0,0.14,0.2676,0.2415,Medio,0
05628,SABANALARGA,ANTIOQUIA,6.850028,-75.816645,0,0,23800.5,885.0,0,0,,0,0,0,0.5425,0.0,0.0,0.0,0.1899,Bajo,1
05631,SABANETA,ANTIOQUIA,6.149903,-75.615479,0,0,0,0,0,0,,0,0,0,0.0,0.0,0.0,0.0,0.0,Bajo,1
05642,SALGAR,ANTIOQUIA,5.964198,-75.976807,2,2,3583.9,0.0,0,0,,0,2,8895.7,0.3184,0.0,0.0,0.5813,0.1696,Bajo,1
05647,SAN ANDRÉS DE CUERQUÍA,ANTIOQUIA,6.916676,-75.674564,0,0,0,0,0,0,,0,1,460.9,0.0,0.0,0.0,0.3922,0.0392,Bajo,1
05649,SAN CARLOS,ANTIOQUIA,6.187746,-74.988097,20,10,11984.0,1677.0,0,0,,0,7,17060.7,0.5907,0.0,0.0,0.623,0.269,Alto,1
05652,SAN FRANCISCO,ANTIOQUIA,5.963476,-75.101562,9,3,4253.4,0.0,0,0,,0,3,76.0,0.4489,0.0,0.0,0.2777,0.1849,Bajo,1
05656,SAN JERÓNIMO,ANTIOQUIA,6.44809,-75.726975,4,2,764.9,0.0,0,0,,0,0,0,0.296,0.0,0.0,0.0,0.1036,Bajo,1
05658,SAN JOSÉ DE LA MONTAÑA,ANTIOQUIA,6.85009,-75.683352,0,0,0,0,0,0,,0,3,30.6,0.0,0.0,0.0,0.2208,0.0221,Bajo,1
05659,SAN JUAN DE URABÁ,ANTIOQUIA,8.758964,-76.52857,2,2,32.6,171.0,0,0,,0,0,0,0.1874,0.0,0.0,0.0,0.0656,Bajo,1
05660,SAN LUIS,ANTIOQUIA,6.043017,-74.993619,16,6,21060.8,3870.0,0,0,,0,5,23487.7,0.6148,0.0,0.0,0.6434,0.2795,Alto,1
05664,SAN PEDRO DE LOS MILAGROS,ANTIOQUIA,6.46012,-75.556743,2,1,2365.9,550.0,0,0,,0,1,2.8,0.2838,0.0,0.0,0.0853,0.1079,Bajo,1
05665,SAN PEDRO DE URABÁ,ANTIOQUIA,8.276884,-76.380567,0,0,0,0,1,0,,0,1,1625.4,0.0,0.0,0.0,0.7227,0.0723,Bajo,1
05667,SAN RAFAEL,ANTIOQUIA,6.293759,-75.02849,0,0,13062.6,367.0,0,0,,0,12,6954.8,0.4466,0.0,0.0,0.5656,0.2129,Medio,1
05670,SAN ROQUE,ANTIOQUIA,6.485939,-75.019109,1,1,19781.5,1128.0,0,0,,0,2,5115.7,0.5205,0.0,0.0,0.546,0.2368,Medio,1
05674,SAN VICENTE FERRER,ANTIOQUIA,6.282164,-75.332616,7,4,905.3,981.0,0,0,,0,5,22.4,0.3694,0.0,0.0,0.2015,0.1494,Bajo,1
05679,SANTA BÁRBARA,ANTIOQUIA,5.875527,-75.567351,1,1,4410.9,0.0,0,0,,0,0,0,0.3139,0.0,0.0,0.0,0.1099,Bajo,1
05686,SANTA ROSA DE OSOS,ANTIOQUIA,6.643366,-75.460723,109,3,37923.8,2013.0,0,0,,0,0,0,0.8442,0.0,0.0,0.0,0.2955,Alto,1
05690,SANTO DOMINGO,ANTIOQUIA,6.473032,-75.164903,19,8,13291.0,2499.0,0,0,,0,4,46.0,0.5922,0.0,0.0,0.2461,0.2319,Medio,1
05697,EL SANTUARIO,ANTIOQUIA,6.136871,-75.265465,1,1,0,0,0,0,,0,2,2064.4,0.1171,0.0,0.0,0.488,0.0898,Bajo,1
05736,SEGOVIA,ANTIOQUIA,7.079648,-74.701596,73,25,3989.0,278.0,1,0,,0,0,0,0.736,0.0,0.0,0.25,0.2826,Alto,1
05756,SONSÓN,ANTIOQUIA,5.714851,-75.309596,77,12,16106.3,688.0,0,0,,0,0,0,0.7678,0.0,0.0,0.0,0.2687,Alto,1
05761,SOPETRÁN,ANTIOQUIA,6.500745,-75.747378,28,9,3668.4,0.0,0,0,,0,0,0,0.589,0.0,0.0,0.0,0.2061,Medio,1
05789,TÁMESIS,ANTIOQUIA,5.664645,-75.714429,0,0,13313.1,0.0,0,0,,0,3,478.4,0.4496,0.0,0.0,0.3946,0.1968,Medio,1
05790,TARAZÁ,ANTIOQUIA,7.580127,-75.401407,30,14,21603.5,764.0,1,0,,0,0,0,0.6695,0.0,0.0,0.25,0.2593,Alto,1
05792,TARSO,ANTIOQUIA,5.864542,-75.822956,2,2,1742.0,0.0,0,0,0.69,1,2,55.3,0.263,0.0,0.31,0.2577,0.1953,Medio,0
05809,TITIRIBÍ,ANTIOQUIA,6.062391,-75.791887,45,12,4940.2,311.0,0,0,,0,2,1207.9,0.6641,0.0,0.0,0.4537,0.2778,Alto,1
05819,TOLEDO,ANTIOQUIA,7.010328,-75.692281,3,1,5010.6,845.0,0,0,,0,0,0,0.3714,0.0,0.0,0.0,0.13,Bajo,1
05837,TURBO,ANTIOQUIA,8.089929,-76.728858,4,2,2626.0,0.0,1,0,,0,0,0,0.3432,0.0,0.0,0.25,0.1451,Bajo,1
05842,URAMITA,ANTIOQUIA,6.898393,-76.173284,1,1,1138.0,0.0,0,0,,0,0,0,0.1932,0.0,0.0,0.0,0.0676,Bajo,1
05847,URRAO,ANTIOQUIA,6.317343,-76.133951,0,0,5521.2,982.0,0,0,,0,4,30041.9,0.3168,0.0,0.0,0.6591,0.1768,Bajo,1
05854,VALDIVIA,ANTIOQUIA,7.1652,-75.439274,4,2,38984.9,1213.0,1,0,,0,1,23525.5,0.6393,0.0,0.0,0.8935,0.3131,Alto,1
05856,VALPARAÍSO,ANTIOQUIA,5.614555,-75.624452,9,5,4113.4,618.0,0,0,,0,1,218.4,0.4472,0.0,0.0,0.3446,0.191,Medio,1
05858,VEGACHÍ,ANTIOQUIA,6.773525,-74.798714,5,2,27397.3,309.0,0,0,,0,0,0,0.5928,0.0,0.0,0.0,0.2075,Medio,1
05861,VENECIA,ANTIOQUIA,5.964693,-75.735544,18,6,7316.2,67.0,0,0,,0,0,0,0.5525,0.0,0.0,0.0,0.1934,Medio,1
05873,VIGÍA DEL FUERTE,ANTIOQUIA,6.588164,-76.896004,0,0,2122.7,728.0,1,0,,0,0,0,0.1924,0.0,0.0,0.25,0.0923,Bajo,1
05885,YALÍ,ANTIOQUIA,6.676554,-74.840059,3,3,53918.5,2700.0,0,0,,0,0,0,0.6858,0.0,0.0,0.0,0.24,Medio,1
05887,YARUMAL,ANTIOQUIA,6.963832,-75.418828,4,2,29316.4,303.0,0,0,,0,0,0,0.5973,0.0,0.0,0.0,0.2091,Medio,1
05890,YOLOMBÓ,ANTIOQUIA,6.594511,-75.013385,32,13,37848.3,4897.0,0,0,,0,0,0,0.7198,0.0,0.0,0.0,0.2519,Medio,1
05893,YONDÓ,ANTIOQUIA,7.00396,-73.912445,3,3,1172.0,0.0,1,0,,0,0,0,0.2776,0.0,0.0,0.25,0.1222,Bajo,1
05895,ZARAGOZA,ANTIOQUIA,7.488583,-74.867075,40,6,4352.5,1232.0,1,0,,0,1,75760.0,0.6445,0.0,0.0,0.9683,0.3224,Alto,1
08001,BARRANQUILLA,ATLÁNTICO,10.977961,-74.815546,23,6,3501.6,421.0,0,0,0.661,6,0,0,0.5599,0.0,0.339,0.0,0.2807,Alto,0
08078,BARANOA,ATLÁNTICO,10.79445,-74.916077,2,2,0.0,0.0,0,0,,0,0,0,0.1856,0.0,0.0,0.0,0.065,Bajo,1
08137,CAMPO DE LA CRUZ,ATLÁNTICO,10.378291,-74.880847,0,0,0,0,0,0,,0,0,0,0.0,0.0,0.0,0.0,0.0,Bajo,1
08141,CANDELARIA,ATLÁNTICO,10.461903,-74.879717,0,0,0.0,0.0,0,0,,0,0,0,0.0,0.0,0.0,0.0,0.0,Bajo,1
