cod_mpio,municipio,nivel_predicho,conjunto_conformal,tamano_conjunto,certeza_calibrada
20570,PUEBLO BELLO,Alto,Alto,1,Alta
20614,RÍO DE ORO,Bajo,Bajo,1,Alta
20621,LA PAZ,Crítico,Crítico,1,Alta
20710,SAN ALBERTO,Medio,Medio,1,Alta
20750,SAN DIEGO,Medio,Medio,1,Alta
20770,SAN MARTÍN,Medio,Medio,1,Alta
20787,TAMALAMEQUE,Medio,Medio,1,Alta
23001,MONTERÍA,Alto,Alto,1,Alta
23068,AYAPEL,Alto,Alto,1,Alta
23079,BUENAVISTA,Bajo,Bajo,1,Alta
23090,CANALETE,Bajo,Bajo,1,Alta
23162,CERETÉ,Bajo,Bajo,1,Alta
23168,CHIMÁ,Bajo,Bajo,1,Alta
23182,CHINÚ,Bajo,Bajo,1,Alta
23189,CIÉNAGA DE ORO,Bajo,Bajo,1,Alta
23300,COTORRA,Bajo,Bajo,1,Alta
23350,LA APARTADA,Bajo,Bajo,1,Alta
23417,LORICA,Bajo,Bajo,1,Alta
23419,LOS CÓRDOBAS,Bajo,Bajo,1,Alta
23464,MOMIL,Bajo,Bajo,1,Alta
23466,MONTELÍBANO,Crítico,Crítico,1,Alta
23500,MOÑITOS,Bajo,Bajo,1,Alta
23555,PLANETA RICA,Medio,Medio,1,Alta
23570,PUEBLO NUEVO,Bajo,Bajo,1,Alta
23574,PUERTO ESCONDIDO,Bajo,Bajo,1,Alta
23580,PUERTO LIBERTADOR,Medio,Medio,1,Alta
23586,PURÍSIMA DE LA CONCEPCIÓN,Bajo,Bajo,1,Alta
23660,SAHAGÚN,Bajo,Bajo,1,Alta
23670,SAN ANDRÉS DE SOTAVENTO,Bajo,Bajo,1,Alta
23672,SAN ANTERO,Bajo,Bajo,1,Alta
23675,SAN BERNARDO DEL VIENTO,Bajo,Bajo,1,Alta
23678,SAN CARLOS,Bajo,Bajo,1,Alta
23682,SAN JOSÉ DE URÉ,Bajo,Bajo,1,Alta
23686,SAN PELAYO,Bajo,Bajo,1,Alta
23807,TIERRALTA,Bajo,Bajo,1,Alta
23815,TUCHÍN,Bajo,Bajo,1,Alta
23855,VALENCIA,Bajo,Bajo,1,Alta
25001,AGUA DE DIOS,Bajo,Bajo,1,Alta
25019,ALBÁN,Bajo,Bajo,1,Alta
25035,ANAPOIMA,Bajo,Bajo,1,Alta
25040,ANOLAIMA,Bajo,Bajo,1,Alta
25053,ARBELÁEZ,Bajo,Bajo,1,Alta
25086,BELTRÁN,Bajo,Bajo,1,Alta
25095,BITUIMA,Bajo,Bajo,1,Alta
25099,BOJACÁ,Medio,Medio,1,Alta
25120,CABRERA,Bajo,Bajo,1,Alta
25123,CACHIPAY,Bajo,Bajo,1,Alta
25126,CAJICÁ,Bajo,Bajo,1,Alta
25148,CAPARRAPÍ,Bajo,Bajo,1,Alta
25151,CÁQUEZA,Bajo,Bajo,1,Alta
25154,CARMEN DE CARUPA,Medio,Medio,1,Alta
25168,CHAGUANÍ,Bajo,Bajo,1,Alta
25175,CHÍA,Bajo,Bajo,1,Alta
25178,CHIPAQUE,Bajo,Bajo,1,Alta
25181,CHOACHÍ,Medio,Medio,1,Alta
25183,CHOCONTÁ,Bajo,Bajo,1,Alta
25200,COGUA,Alto,Alto,1,Alta
25214,COTA,Bajo,Bajo,1,Alta
25224,CUCUNUBÁ,Alto,Alto,1,Alta
25245,EL COLEGIO,Bajo,Bajo,1,Alta
25258,EL PEÑÓN,Bajo,Bajo,1,Alta
25260,EL ROSAL,Medio,Medio,1,Alta
25269,FACATATIVÁ,Bajo,Bajo,1,Alta
25279,FÓMEQUE,Bajo,Bajo,1,Alta
25281,FOSCA,Bajo,Bajo,1,Alta
25286,FUNZA,Bajo,Bajo,1,Alta
25288,FÚQUENE,Bajo,Bajo,1,Alta
25290,FUSAGASUGÁ,Bajo,Bajo,1,Alta
25293,GACHALÁ,Alto,Alto,1,Alta
25295,GACHANCIPÁ,Bajo,Bajo,1,Alta
25297,GACHETÁ,Medio,Medio,1,Alta
25299,GAMA,Bajo,Bajo,1,Alta
25307,GIRARDOT,Bajo,Bajo,1,Alta
25312,GRANADA,Bajo,Bajo,1,Alta
25317,GUACHETÁ,Alto,Alto,1,Alta
25320,GUADUAS,Alto,Alto,1,Alta
25322,GUASCA,Medio,Medio,1,Alta
