cod_mpio,municipio,departamento,lat,lon,mineria_titulos,mineria_minerales,mineria_volumen,mineria_regalias,es_pdet,deforestacion_ha,agua_ica_medio,agua_estaciones,runap_areas,runap_hectareas
08549,PIOJÓ,ATLÁNTICO,10.749216,-75.107592,0,0,0,0,0,0,,0,3,832.5
08558,POLONUEVO,ATLÁNTICO,10.777363,-74.852981,2,2,0,0,0,0,,0,0,0
08560,PONEDERA,ATLÁNTICO,10.641779,-74.753885,0,0,0,0,0,0,,0,0,0
08573,PUERTO COLOMBIA,ATLÁNTICO,11.015322,-74.888627,27,8,11879.5,0.0,0,0,,0,0,0
08606,REPELÓN,ATLÁNTICO,10.493357,-75.125534,38,6,3539.0,0.0,0,0,,0,1,1528.9
08634,SABANAGRANDE,ATLÁNTICO,10.792453,-74.759496,9,4,8.0,0.0,0,0,,0,0,0
08638,SABANALARGA,ATLÁNTICO,10.632091,-74.921256,19,4,2790.5,0.0,0,0,,0,0,0
08675,SANTA LUCÍA,ATLÁNTICO,10.324303,-74.959204,0,0,0,0,0,0,,0,0,0
08685,SANTO TOMÁS,ATLÁNTICO,10.758735,-74.757859,8,4,1008.0,0.0,0,0,,0,0,0
08758,SOLEDAD,ATLÁNTICO,10.909921,-74.786054,0,0,0,0,0,0,,0,1,56565.1
08770,SUAN,ATLÁNTICO,10.335432,-74.881687,0,0,0,0,0,0,,0,0,0
08832,TUBARÁ,ATLÁNTICO,10.873586,-74.978704,8,6,1698.5,0.0,0,0,,0,0,0
08849,USIACURÍ,ATLÁNTICO,10.74298,-74.976985,0,0,0,0,0,0,,0,1,836.9
11001,"BOGOTÁ, D.C.","BOGOTÁ, D.C.",4.649251,-74.106992,47,7,21374.0,285.0,0,0,0.807,3,3,13158.0
13001,CARTAGENA DE INDIAS,BOLÍVAR,10.385126,-75.496269,40,9,3531.0,0.0,0,0,,0,0,0
13006,ACHÍ,BOLÍVAR,8.570107,-74.557676,0,0,1535.9,0.0,0,0,,0,0,0
13030,ALTOS DEL ROSARIO,BOLÍVAR,8.791865,-74.164905,18,5,4173.9,1495.0,0,0,,0,0,0
13042,ARENAL,BOLÍVAR,8.458865,-73.941099,25,2,20736.6,2501.0,1,0,,0,0,0
13052,ARJONA,BOLÍVAR,10.25666,-75.344332,1,1,340.0,0.0,0,0,,0,0,0
13062,ARROYOHONDO,BOLÍVAR,10.250075,-75.019215,8,4,530.5,0.0,0,0,,0,0,0
13074,BARRANCO DE LOBA,BOLÍVAR,8.947787,-74.104391,45,8,22442.7,2324.0,0,0,,0,0,0
13140,CALAMAR,BOLÍVAR,10.250431,-74.916144,6,3,0,0,0,0,,0,0,0
